scenario_id,run_id,step,t,vehicle_id,vehicle_type,compliance_state,x_global,y,v,a,physical_lane,road_role,primary_leader_id,lane_change_state,merge_state,active_event_tags
BASIC-05,basic_long_dt_900,0,0.0,B05_MV,cav,not_applicable,6852.04,-3.5,20.4,4.0,on_ramp,on_ramp_mv,,normal,not_started,commit
BASIC-05,basic_long_dt_900,0,0.0,B05_CLV,cav,not_applicable,6866.04,0.0,20.4,4.0,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,0,0.0,B05_CFV,cav,not_applicable,6826.007272727273,0.0,20.072727272727274,0.7272727272727273,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,0,0.0,B05_TLV_CLV,cav,not_applicable,6874.54,3.5,15.4,4.0,lane_1,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,1,0.1,B05_MV,cav,not_applicable,6854.1184,-3.5,20.784,3.8400000000000007,on_ramp,on_ramp_mv,,normal,not_started,commit
BASIC-05,basic_long_dt_900,1,0.1,B05_CLV,cav,not_applicable,6868.1184,0.0,20.784,3.8400000000000007,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,1,0.1,B05_CFV,cav,not_applicable,6828.027768595041,0.0,20.20495867768595,1.322314049586777,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,1,0.1,B05_TLV_CLV,cav,not_applicable,6876.12,3.5,15.8,4.0,lane_1,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,2,0.2,B05_MV,cav,not_applicable,6856.233664,-3.5,21.152639999999998,3.686400000000001,on_ramp,on_ramp_mv,,normal,not_started,commit
BASIC-05,basic_long_dt_900,2,0.2,B05_CLV,cav,not_applicable,6870.233664,0.0,21.152639999999998,3.686400000000001,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,2,0.2,B05_CFV,cav,not_applicable,6830.066356123216,0.0,20.38587528174305,1.8091660405709993,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,2,0.2,B05_TLV_CLV,cav,not_applicable,6877.74,3.5,16.2,4.0,lane_1,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,3,0.30000000000000004,B05_MV,cav,not_applicable,6858.38431744,-3.5,21.5065344,3.5389440000000008,on_ramp,on_ramp_mv,,normal,not_started,commit
BASIC-05,basic_long_dt_900,3,0.30000000000000004,B05_CLV,cav,not_applicable,6872.38431744,0.0,21.5065344,3.5389440000000008,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,3,0.30000000000000004,B05_CFV,cav,not_applicable,6832.127018646268,0.0,20.606625230517043,2.2074994877399083,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,3,0.30000000000000004,B05_TLV_CLV,cav,not_applicable,6879.4,3.5,16.599999999999998,4.0,lane_1,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,4,0.4,B05_MV,cav,not_applicable,6860.5689447424,-3.5,21.846273024,3.3973862400000003,on_ramp,on_ramp_mv,,normal,not_started,commit
BASIC-05,basic_long_dt_900,4,0.4,B05_CLV,cav,not_applicable,6874.5689447424,0.0,21.846273024,3.3973862400000003,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,4,0.4,B05_CFV,cav,not_applicable,6834.213015256038,0.0,20.859966097695764,2.5334086717871975,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,4,0.4,B05_TLV_CLV,cav,not_applicable,6881.099999999999,3.5,16.999999999999996,4.0,lane_1,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,5,0.5,B05_MV,cav,not_applicable,6862.786186952704,-3.5,22.17242210304,3.261490790400001,on_ramp,on_ramp_mv,,normal,not_started,commit
BASIC-05,basic_long_dt_900,5,0.5,B05_CLV,cav,not_applicable,6876.786186952704,0.0,22.17242210304,3.261490790400001,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,5,0.5,B05_CFV,cav,not_applicable,6836.327012482213,0.0,21.13997226175108,2.800061640553161,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,5,0.5,B05_TLV_CLV,cav,not_applicable,6882.839999999999,3.5,17.399999999999995,4.0,lane_1,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,6,0.6,B05_MV,cav,not_applicable,6865.034739474596,-3.5,22.485525218918397,3.1310311587840007,on_ramp,on_ramp_mv,,normal,not_started,commit
BASIC-05,basic_long_dt_900,6,0.6,B05_CLV,cav,not_applicable,6879.034739474596,0.0,22.485525218918397,3.1310311587840007,lane_2,mainline,,normal,none,commit
BASIC-05,basic_long_dt_900,6,0.6,B05_CFV,cav,not_applicable,6838.471192030902,0.0,21.441795486887248,3.0182322513616775,lane_2,mainline,,normal,none,commit
